,Ratings,Jobs,Salaries,Locations
0,3.2,Entry Level Sale and Customer Service Representative Government Employees Insurance Company,$40-$70,"Pittsburgh, PA"
1,3.4,Customer Service & Support Representative - Customer Care Center PNC Financial Services Group,$14-$24,"Pittsburgh, PA"
2,3.0,Program Coordinator Jewish Residential Services,$14,"Pittsburgh, PA"
3,NaN,plumber M.J. Flaherty Plumbing & Heating,NaN,"Pittsburgh, PA"
4,5.0,Compliance Officer Armco Credit Union,NaN,"Butler, PA"
5,4.3,Dental Assistant Squirrel Hill Health Center,NaN,"Pittsburgh, PA"
6,NaN,/ Host / Bartender / Cashier Giannilli’s,NaN,"Greensburg, PA"
7,NaN,Coordinator Excel Glass and Granite,NaN,"Jeannette, PA"
8,NaN,Support Professional Taylor Maleski,$12-$15,"Greensburg, PA"
9,2.1,Counselor Renewal,NaN,"Pittsburgh, PA"
10,NaN,Golden Mile Animal Clinic  East,NaN,"Pittsburgh, PA"
11,3.6,Route Driver The Bair Foundation,NaN,"Pittsburgh, PA"
12,2.7,Delivery Driver- Store to Home - Utilizing Independent Vehicles Point Pickup Technologies,NaN,"Pittsburgh, PA"
13,NaN,Construction LogoHVAC lead installer Zacherl Construction co,$20-$26,"Cabot, PA"
14,3.0,"Designer -Trade shows, exhibits & space planning Carpenter Connection",$25-$35,"Pittsburgh, PA"
15,1.0,Bookkeeper Robb Real Estate,NaN,"Pittsburgh, PA"
16,NaN,Medical Assistant Center for Digestive Health and Nutrition  Moon,$13-$14,"Township, PA"
17,4.2,Retirement Specialist - Leadership Trainee Success Financial Solutions,NaN,"Pittsburgh, PA"
18,3.5,Community Investment Intern FHLBank Pittsburgh,NaN,"Pittsburgh, PA"
19,NaN,Foxwall EMS,NaN,"Pittsburgh, PA"
20,NaN,Service Team Member Geno Levi Salon  Mc,NaN,"Murray, PA"
21,3.4,Entry Level to Management - Hiring for March Steel River Marketing,NaN,"Pittsburgh, PA"
22,NaN,"Engineer/Designer Tower Engineering, Inc.",NaN,"Pittsburgh, PA"
23,NaN,Associate DMConsult,$40-$50,"Pittsburgh, PA"
24,3.7,Assistant Manager Ruth's Chris Steak House,$35-$51,"Pittsburgh, PA"
25,NaN,"International Logo 3.2Technical Specialist, Coatings Laboratory Program NACE International",$34-$56,"Pittsburgh, PA"
26,NaN,city Logo 3.0Sales Associate Pool city,$40-$70,"Pittsburgh, PA"
27,NaN,"Health Logo 3.0ECG Technician/Telemtry Technician Mobilis Health, LLC",NaN,"Monroeville, PA"
28,NaN,Psychologist AIBDT Psychological Services  Moon,$79-$12,"Township, PA"
29,3.7,Kitchen Staff Ruth's Chris Steak House,$35-$49,"Pittsburgh, PA"
30,3.4,Visual Merchandiser Target,$11-$17,"Homestead, PA"
31,3.2,Telemarketer Government Employees Insurance Company,$30-$35,"Pittsburgh, PA"
32,4.0,Sales  K Base + Bonus! Average of K/year + Benefits Molyneaux Tile Carpet Wood,$36-$65,"Pittsburgh, PA"
33,2.7,Recruiter Advantage Corporate,NaN,"Pittsburgh, PA"
34,3.5,Information Technology Intern FHLBank Pittsburgh,NaN,"Pittsburgh, PA"
35,3.9,HR Analyst Carmeuse,$45-$67,"Pittsburgh, PA"
36,NaN,Representative Pancoast Staffing Services,$50-$55,"Pittsburgh, PA"
37,2.7,Exercise Specialist Lutheran SeniorLife,$29-$46,"Pittsburgh, PA"
38,4.0,Mathematical Modeler - Quantitative Systems Pharmacology IMMUNETRICS,NaN,"Pittsburgh, PA"
39,5.0,"Lead Teacher Brass Ring Learning Centers, Inc  West",NaN,"Mifflin, PA"
40,NaN,Manager Private Club,NaN,"Pittsburgh, PA"
41,3.7,Team Manager Graeters,NaN,"Wexford, PA"
42,3.7,Server/Bartender/Server Assistant Ruth's Chris Steak House,NaN,"Pittsburgh, PA"
43,NaN,Bus Driver Pittsburgh Transportation Group,$14-$15,"Pittsburgh, PA"
44,2.1,Medication Technician Renewal,NaN,"Pittsburgh, PA"
45,3.0,Executive Administrative Assistant Dollar Bank,$27-$32,"Pittsburgh, PA"
46,3.8,Healthcare Recruiter Jewish Association on Aging,$14-$25,"Pittsburgh, PA"
47,NaN,Cook Giannillis II,$11-$16,"Greensburg, PA"
48,4.0,PRN Physical Therapist (PT) for SNF Benchmark Therapies,NaN,"Pittsburgh, PA"
49,NaN,Sales Representative ErieTec,NaN,"Pittsburgh, PA"
50,3.0,Box Truck Driver Midwest Direct Presort,$29,"Pittsburgh, PA"
51,4.2,Mechanical Engineer Futures Consulting,$65-$95,"Pittsburgh, PA"
52,NaN,Sales Representative - Entry Level Position Barrett Group Inc.,NaN,"Pittsburgh, PA"
53,2.8,Patient Service Coordinator MyEyeDr,$23-$29,"Pittsburgh, PA"
54,2.1,Treatment Aide Renewal,NaN,"Pittsburgh, PA"
55,3.2,Sales Agent GEICO,$45-$75,"Pittsburgh, PA"
56,3.1,Benefits Specialist InVision Human Services,NaN,"Wexford, PA"
57,3.8,Proximity Marketing Renewal By Andersen,$10-$12,"Monroeville, PA"
58,3.9,Warranty Administrator Cochran Automotive,NaN,"Monroeville, PA"
59,NaN,Sales Representative AGC Education,$35-$40,"Pittsburgh, PA"
60,2.9,Administrative,NaN,Assistant PA
61,3.7,HVAC Install Helper ARS Rescue Rooter,$29-$49,"Pittsburgh, PA"
62,5.0,Research Associate Jobot,NaN,"Pittsburgh, PA"
63,5.0,Workers Compensation Claims Consultant East Coast Risk Management,NaN,"Pittsburgh, PA"
64,NaN,Therapist (LPC/LCSW/Psychologist) AIBDT Psychological Services  Moon,$64-$12,"Township, PA"
65,4.2,Sales Executive Trelevate,NaN,"Pittsburgh, PA"
66,3.8,Director of Home Health Services Jewish Association on Aging,NaN,"Pittsburgh, PA"
67,4.6,Mortgage Analyst Reliance First Capital,NaN,"Pittsburgh, PA"
68,3.4,Community Inclusion Professional (Casual) - Direct Care Achieva,NaN,"Pittsburgh, PA"
69,3.1,Administrative Assistant InVision Human Services,$23-$32,"Wexford, PA"
70,3.0,Loss Mitigation Specialist Dollar Bank,$25-$39,"Pittsburgh, PA"
71,NaN,Toddler Teacher John Heinz Child Development Center,NaN,"Pittsburgh, PA"
72,4.2,Sales Consultant Trelevate,NaN,"Pittsburgh, PA"
73,NaN,Massage Therapist OSIRIS Wellness and Day Spa  Evans,NaN,"City, PA"
74,2.7,Data Engineer GTL,$59-$83,"Pittsburgh, PA"
75,3.0,Licensed Practical Nurse Transitions Healthcare  North,$36-$40,"Huntingdon, PA"
76,5.0,Home Health Aide Renaissance Home Care,$11-$14,"Imperial, PA"
77,3.9,"Vice President, Producer - Employee Benefits USI Insurance Services",NaN,"Pittsburgh, PA"
78,2.1,Security Guard/Community Corrections Monitor Renewal,NaN,"Pittsburgh, PA"
79,3.6,Management Trainee Enterprise Holdings,$29-$40,"Pittsburgh, PA"
80,3.0,Registered Nurse Transitions Healthcare  North,$58-$62,"Huntingdon, PA"
81,3.4,Fast-Track Management Opportunity Steel River Marketing,NaN,"Pittsburgh, PA"
82,3.9,Facility Maintenance Technician Cochran Automotive,$11-$23,"Monroeville, PA"
83,3.4,Assistant Manager Trainee / Entry Level / Full Time / Paid Training Steel River Marketing,$28-$45,"Pittsburgh, PA"
84,2.7,Permanency Caseworker Lutheran SeniorLife,NaN,"Pittsburgh, PA"
85,2.8,Millwright Universal Stainless,$14-$27,"Bridgeville, PA"
86,3.4,Kiosk Customer Service Steel River Marketing,NaN,"Pittsburgh, PA"
87,3.7,Team Member - Castle Shannon Graeters,NaN,"Pittsburgh, PA"
88,2.7,Authorizations Coordinator Premier Medical Associates,NaN,"Pittsburgh, PA"
89,NaN,"Clearing Coordinator Key Personnel Services  Green Tree,",$15-$20,"Allegheny, PA"
90,3.8,Community Manager - Cambridge Square,$28-$42,"Monroeville, PA"
91,3.6,Operations Supervisor Concord Hospitality,$32-$48,"Pittsburgh, PA"
92,3.7,PSG Global SolutionsJava Engineer II,NaN,"Pittsburgh, PA"
93,3.0,Dollar BankCustomer Service (Debit/Credit Inquiries),$9--$14,"Pittsburgh, PA"
94,3.5,FHLBank PittsburghOffice of Diversity and Inclusion Intern,NaN,"Pittsburgh, PA"
95,4.2,TrelevateTechnical Sales,NaN,"Pittsburgh, PA"
96,3.4,Penske Truck LeasingSales and Operations Management Trainee,NaN,"Pittsburgh, PA"
97,4.1,Consolidated Electrical DistributorsManagement Trainee,$30-$44,"Pittsburgh, PA"
98,2.5,VeneziaTruck Driver-Local Runs NEW Higher Pay Rates,NaN,"Crafton, PA"
99,5.0,"Renaissance Home Care, Inc.Registered Nurse",NaN,"Imperial, PA"
100,3.6,American WoodmarkTerritory Business Manager - Western Pennsylvania/West Virginia,$59-$10,"Pittsburgh, PA"
101,4.3,Oncology Nursing SocietyA/P Bookkeeper,NaN,"Pittsburgh, PA"
102,4.9,CarSenseAutomotive Detailer,NaN,"Pittsburgh, PA"
103,4.8,US WorldMedsRegional Account Manager,NaN,"Pittsburgh, PA"
104,3.4,AchievaLawn Crew Member (FT),NaN,"Pittsburgh, PA"
105,3.5,Piada Italian Street FoodSupervisor,$33-$47,"Pittsburgh, PA"
106,3.7,GraetersAssistant Manager,$19-$29,"Pittsburgh, PA"
107,NaN,Family WellnessCertified Medical Assistant/LPN/Phlebotomist,NaN,"Wexford, PA"
108,3.0,Dollar BankCorporate Underwriter,NaN,"Pittsburgh, PA"
109,3.6,SheetzStore Team Member - #468 - Days,$18-$23,"Pittsburgh, PA"
110,3.4,AchievaProperty Maintenance Working Supervisor (FT),NaN,"Pittsburgh, PA"
111,2.6,"National Multiple Sclerosis SocietyManager, Corporate Relations",NaN,"Pittsburgh, PA"
112,2.7,"Brink's, IncorporatedCash Logistics Processor",NaN,"Pittsburgh, PA"
113,4.2,North American Dental GroupDental Assistant I,$13-$20,"Pittsburgh, PA"
114,3.4,AchievaCommunity Living Weekend Coordinator (FT) - Direct Care,NaN,"Pittsburgh, PA"
115,3.8,Bossanova RoboticsSystems Service Technician,$14-$29,"Pittsburgh, PA"
116,3.1,"Plow and Hearth, LLCRetail Store Supervisor",$21-$35,"Pittsburgh, PA"
117,4.6,GuntonSales Representative -B2C- In Home Sales,$52-$95,"Pittsburgh, PA"
118,3.3,Altar'd StateASSISTANT STORE MANAGER,$27-$42,"Pittsburgh, PA"
119,3.5,FHLBank PittsburghSenior Testing Analyst,NaN,"Pittsburgh, PA"
120,3.4,AchievaDirect Support Professional (FT),NaN,"Pittsburgh, PA"
121,3.6,Concord HospitalityFront Desk Supervisor,NaN,"Pittsburgh, PA"
122,4.3,Working an Unpaid Internship? Make Money Driving with Uber. Uber,NaN,"Pittsburgh, PA"
123,4.6,Mortgage Analyst Reliance First Capital,NaN,"Pittsburgh, PA"
124,4.2,Electrician Power Design,NaN,"Camden, PA"
125,4.3,Senior Manager Institutional Engagement Oncology Nursing Society,$51-$84,"Pittsburgh, PA"
126,NaN,"Drivers - 000 Sign-On Bonus & VIP Orientation"" Melton Truck Lines","$4,","Pittsburgh, PA"
127,3.0,Lockbox Assistant Supervisor Dollar Bank,NaN,"Pittsburgh, PA"
128,4.2,Life Insurance Agent The Leazer Group,NaN,"Pittsburgh, PA"
129,4.2,General Dentist DentalOne Partners,$12-$20,"Pittsburgh, PA"
130,4.3,Outpatient Therapist - LCSW/LPC Squirrel Hill Health Center,NaN,"Pittsburgh, PA"
131,4.0,Sales Consultant CarHop of Pittsburgh in Wilkins Township,NaN,"Pittsburgh, PA"
132,2.7,Operations Manager - Cardiology Premier Medical Associates,$46-$70,"Monroeville, PA"
133,3.6,Front Desk Clerk - Hyatt House Pittsburgh South Side Concord Hospitality,NaN,"Pittsburgh, PA"
134,3.4,Pharmacy Technician ATC Healthcare,NaN,"Pittsburgh, PA"
135,3.6,Breakfast Attendant-Hyatt House Pittsburgh Bloomfield Concord Hospitality,NaN,"Pittsburgh, PA"
136,4.0,Inbound Sales Representative NexRep,NaN,"Pittsburgh, PA"
137,2.2,Technical Reviewer  Medical Device QMS Audits BSI America,NaN,"Pittsburgh, PA"
138,4.3,Independent Sales Agent Symmetry Financial Group,NaN,"Pittsburgh, PA"
139,3.6,Night Auditor - Hyatt House Pittsburgh Southside - Pittsburgh Concord Hospitality,$10-$14,"Pittsburgh, PA"
140,2.7,"Branch Manager, Cash in Transit Brink's, Incorporated",NaN,"Pittsburgh, PA"
141,3.4,Sales Associate - Entry Level | -/HR Steel River Marketing,$10-$15,"Pittsburgh, PA"
142,2.7,General Manager BridgeStreet Global Hospitality,NaN,"Pittsburgh, PA"
143,2.9,Residential Support,NaN,Coach PA
144,3.0,Senior Mortgage Specialist Closer Dollar Bank,NaN,"Pittsburgh, PA"
145,3.4,Marketing & Sales,NaN,Representatives - PA
146,3.6,Houseperson - Hyatt House Pittsburgh South Side Concord Hospitality,NaN,"Pittsburgh, PA"
147,3.4,Key Holder - The Block Lands' End,$8--$11,"Pittsburgh, PA"
148,3.0,Sage X3 Developer SCA Pharmaceuticals,NaN,"Pittsburgh, PA"
149,3.7,Optical Stylist SEE,$10-$16,"Pittsburgh, PA"
150,3.0,"AVP, IT Audit Dollar Bank",NaN,"Pittsburgh, PA"
151,3.4,Sales Associate Helzberg Diamonds,NaN,"Pittsburgh, PA"
152,5.0,Regional Account Manager HEMA Biologics,NaN,"Pittsburgh, PA"
153,3.6,Store Team Member - #468 - Evenings Sheetz,$18-$23,"Pittsburgh, PA"
154,4.3,Uber Driver Partner (Make More Money Between Internships) Uber,NaN,"Pittsburgh, PA"
155,4.3,Uber Driver Partner (Earn Extra Income Between Internships) Uber,NaN,"Pittsburgh, PA"
156,3.6,Store Team Member - #253 - Days Sheetz,$18-$23,"Pittsburgh, PA"
157,3.6,Store Team Member - #253 - Overnight Sheetz,$18-$23,"Pittsburgh, PA"
158,3.7,Lead HVAC Installer ARS Rescue Rooter,NaN,"Pittsburgh, PA"
159,3.6,Store Team Member - #253 - Weekends Sheetz,$18-$23,"Pittsburgh, PA"
160,3.3,"Salaried, Benefits, Per Diem Company Drivers Hazelton Cardinal Logistics Management",NaN,"Whitehall, PA"
161,3.1,CDL A or B Local driver Beacon Roofing Supply,NaN,"Pittsburgh, PA"
162,2.6,"HVAC Service Technician Remco, Inc.",NaN,"Pittsburgh, PA"
163,2.7,Application Support Engineer-3 York Risk Services Group,$75-$98,"Pittsburgh, PA"
164,3.4,Trust Assistant/Administrative Achieva,NaN,"Pittsburgh, PA"
165,3.7,Verizon Business to Business Sales Representative Cellular Sales,NaN,"Pittsburgh, PA"
166,3.6,Store Team Member - #253 - Days/Evenings Sheetz,$18-$23,"Pittsburgh, PA"
167,3.6,Bellperson Concord Hospitality,NaN,"Pittsburgh, PA"
168,3.4,Sales Representative - Individualized Training Steel River Marketing,NaN,"Pittsburgh, PA"
169,3.1,Infant/Toddler Teacher Bright Horizons Family Solutions,$9--$13,"Pittsburgh, PA"
170,NaN,Structural Engineer Capital,$12-$16,"Pittsburgh, PA"
171,3.6,Night Auditor Concord Hospitality,$10-$14,"Pittsburgh, PA"
172,4.6,Certified Nursing Assistant (CNA) | 16-20/hr | IntelyCare,$12-$15,"Pittsburgh, PA"
173,3.2,Driver Pizza Hut,NaN,"Pittsburgh, PA"
174,2.9,Blended Case,NaN,Manager – PA
175,3.6,Store Team Member - #353 - Overnight Sheetz,$18-$23,"Pittsburgh, PA"
176,2.7,Senior Data Engineer GTL,$73-$99,"Pittsburgh, PA"
177,2.9,RN - Registered Nurse HCR ManorCare,$16-$27,"Pittsburgh, PA"
178,2.7,Application Support Engineer-4 York Risk Services Group,$78-$10,"Pittsburgh, PA"
179,3.4,Entry Level Sales - Retail Marketing Division Steel River Marketing,NaN,"Pittsburgh, PA"
180,4.2,Orthodontic Assistant Part Time DentalOne Partners,$13-$20,"Pittsburgh, PA"
181,3.7,Verizon Sales Representative Cellular Sales,NaN,"Pittsburgh, PA"
182,3.4,Clinical Psychologist (Clinical Video Telehealth) US Department of Veterans Affairs,NaN,"Pittsburgh, PA"
183,3.9,Architectural Site Surveyor Menemsha Development,NaN,"Pittsburgh, PA"
184,3.6,Night Auditor - SpringHill Suites Bakery Square Concord Hospitality,NaN,"Pittsburgh, PA"
185,3.9,Sales / Sales Manager / Sales Representative / Sales Associate Buffett Senior Healthcare,NaN,"Pittsburgh, PA"
186,4.1,Management Trainee Consolidated Electrical Distributors,$30-$44,"Pittsburgh, PA"
187,4.1,Financial Advisor Edward Jones,NaN,"Pittsburgh, PA"
188,2.9,Autobody Technician/Body Tech/Collision Technician Service King Collision Repair Centers,NaN,"Crafton, PA"
189,4.1,Restaurant Supervisor Kimpton Hotels & Restaurants,$34-$45,"Pittsburgh, PA"
190,NaN,"Drivers - 000 Sign-On Bonus & VIP Orientation"" Melton Truck Lines","$4,","Pittsburgh, PA"
191,4.0,Grocery Shopper Shipt,NaN,"Pittsburgh, PA"
192,3.0,Lockbox Assistant Supervisor Dollar Bank,NaN,"Pittsburgh, PA"
193,3.1,Therapist InVision Human Services,NaN,"Wexford, PA"
194,4.3,Outpatient Therapist - LCSW/LPC Squirrel Hill Health Center,NaN,"Pittsburgh, PA"
195,4.2,Life Insurance Agent The Leazer Group,NaN,"Pittsburgh, PA"
196,4.0,Sales Consultant CarHop of Pittsburgh in Wilkins Township,NaN,"Pittsburgh, PA"
197,4.2,General Dentist DentalOne Partners,$12-$20,"Pittsburgh, PA"
198,2.7,Operations Manager - Cardiology Premier Medical Associates,$46-$70,"Monroeville, PA"
199,2.8,Front of House Associate Guckenheimer,NaN,"Pittsburgh, PA"
200,3.4,Pharmacy Technician ATC Healthcare,NaN,"Pittsburgh, PA"
201,3.6,Front Desk Clerk - Hyatt House Pittsburgh South Side Concord Hospitality,NaN,"Pittsburgh, PA"
202,3.6,Part-Time Night Auditor Concord Hospitality,$10-$14,"Pittsburgh, PA"
203,NaN,Dietitian Transform Rehabilitation,NaN,"Whitehall, PA"
204,3.4,Sr. Manager of Site Search DICK'S Sporting Goods,$21-$29,"Coraopolis, PA"
205,3.6,Breakfast Attendant-Hyatt House Pittsburgh Bloomfield Concord Hospitality,NaN,"Pittsburgh, PA"
206,3.0,Direct Marketing Manager Dollar Bank,$39-$60,"Pittsburgh, PA"
207,2.6,Inventory Control II - Duq American Textile,$10-$16,"Duquesne, PA"
208,4.0,Inbound Sales Representative NexRep,NaN,"Pittsburgh, PA"
209,2.2,Technical Reviewer  Medical Device QMS Audits BSI America,NaN,"Pittsburgh, PA"
210,4.3,Independent Sales Agent Symmetry Financial Group,NaN,"Pittsburgh, PA"
211,3.1,Prior Authorization Nurse I Centene Corporation,$22-$32,"Pittsburgh, PA"
212,2.7,"Branch Manager, Cash in Transit Brink's, Incorporated",NaN,"Pittsburgh, PA"
213,3.6,Non-Exempt Food & Beverage Manager Concord Hospitality,NaN,"Pittsburgh, PA"
214,3.6,Night Auditor - Hyatt House Pittsburgh Southside - Pittsburgh Concord Hospitality,$10-$14,"Pittsburgh, PA"
215,2.7,General Manager BridgeStreet Global Hospitality,NaN,"Pittsburgh, PA"
216,3.0,Senior Mortgage Specialist Closer Dollar Bank,NaN,"Pittsburgh, PA"
217,3.4,Sales Associate - Entry Level | -/HR Steel River Marketing,$10-$15,"Pittsburgh, PA"
218,3.9,Leasing Consultant Bozzuto,NaN,"Pittsburgh, PA"
219,3.4,Knowledge Manager Willis Towers Watson,NaN,"Pittsburgh, PA"
220,3.6,"Registered Nurse - Relocation to Oregon - ,000 Bonus! PeaceHealth",$20-$35-,"Pittsburgh, PA"
221,2.7,Housekeeping Supervisor BridgeStreet Global Hospitality,$28-$42,"Pittsburgh, PA"
222,NaN,"Curative Coordinator Key Personnel Services  Green Tree,",$15-$20,"Allegheny, PA"
223,4.4,Class A CDL Delivery Truck Driver ABC Supply co.,NaN,"Carnegie, PA"
